Username,Password,favorite_category,favorite_category2,avatar_filename,avatar_url,is_a_featured_user,is_a_partner,"following (comma, seperated)"
TylerWilliams,TylerWilliams11,Magic,Virtual Reality,TylerWilliams.jpg,https://static.goranked.com/TylerWilliams.jpg,YES,NO,"JennyBrown, JamilaConner, MeganQualls"
JennyBrown,JennyBrown11,Tech,Shuffle/EDM,JennyBrown.jpg,https://static.goranked.com/JennyBrown.jpg,NO,NO,"TylerWilliams, MeganQualls,LisaParker00"
JamilaConner,JamilaConner11,Women's Fashion & Modeling,Cosplay,JamilaConner.jpg,https://static.goranked.com/JamilaConner.jpg,YES,NO,"TylerWilliams, JennyBrown, LisaParker00"
MeganQualls,MeganQualls11,TV/Film,Yoga,MeganQualls.jpg,https://static.goranked.com/MeganQualls.jpg,NO,NO,"LeandroAumiller, PaulSalgado, RobertScott99"
LisaParker00,LisaParker0011,Acapella,DJ's & Beat Makers,LisaParker00.jpg,https://static.goranked.com/LisaParker00.jpg,NO,NO,"TylerWilliams, MeganQualls, PaulSalgado"
LeandroAumiller,LeandroAumiller11,Lip Sync,Breakdance,LeandroAumiller.jpg,https://static.goranked.com/LeandroAumiller.jpg,NO,NO,"AprilHill, DarrenPeck, RobertScott99"
PaulSalgado,PaulSalgado11,Rappers,Singers: Cover Songs,PaulSalgado.jpg,https://static.goranked.com/PaulSalgado.jpg,NO,NO,"RobertScott99, CurtisGregory, BrendaJiminez"
RobertScott99,RobertScott9911,Group,Instrumental,RobertScott.jpg,https://static.goranked.com/RobertScott.jpg,NO,NO,"EugeneWestbrook, CynthiaMoreno, TheresaBenitez"
AprilHill,AprilHill11,TV/Film,Robotics,AprilHill.jpg,https://static.goranked.com/AprilHill.jpg,YES,NO,"ReganLaura, GraceSuko"
CurtisGregory,CurtisGregory11,Sports,Basketball,CurtisGregory.jpg,https://static.goranked.com/CurtisGregory.jpg,YES,NO,"EugeneWestbrook, KariSosa, GraceSuko"
BrendaJiminez,BrendaJiminez11,Basketball,Physics,BrendaJiminez.jpg,https://static.goranked.com/BrendaJiminez.jpg,NO,NO,"ReganLaura, GriffeyRomeo, CandaceMolina"
EugeneWestbrook,EugeneWestbrook11,Basketball,Experiments,EugeneWestbrook.jpg,https://static.goranked.com/EugeneWestbrook.jpg,NO,NO,"GeneMetz, MindyLeblanc, JuliaKinlaw"
CrishtiSchwartz,CrishtiSchwartz11,Boxing,Superhero Powers,CrishtiSchwartz.jpg,https://static.goranked.com/CrishtiSchwartz.jpg,NO,NO,"SierraFrancis, MindyLeblanc, SebastianGard"
DarrenPeck,DarrenPeck11,Sports,eSports,DarrenPeck.jpg,https://static.goranked.com/DarrenPeck.jpg,NO,NO,"BobbyWilliams, MckenzieLaura, PrescottJames"
CynthiaMoreno,CynthiaMoreno11,eSports,Boxing,CynthiaMoreno.jpg,https://static.goranked.com/CynthiaMoreno.jpg,NO,NO,"KariSosa, GeneMetz, FullenWilder"
ReganLaura,ReganLaura11,MMA,Action Sports,ReganLaura.jpg,https://static.goranked.com/ReganLaura.jpg,NO,NO,"GraceSuko, JuliaKinlaw, BobbyWilliams"
TheresaBenitez,TheresaBenitez11,Sports,Soccer,TheresaBenitez.jpg,https://static.goranked.com/TheresaBenitez.jpg,YES,NO,"MargueriteAshe, HulmSteller, KohnkeStephens"
GraceSuko,GraceSuko11,Hair,Jewelry,GraceSuko.jpg,https://static.goranked.com/GraceSuko.jpg,YES,NO,"DebraNunn, DarrenPeck, GeneMetz"
DebraNunn,DebraNunn11,Football,Women's Fashion & Modeling,DebraNunn.jpg,https://static.goranked.com/DebraNunn.jpg,NO,NO,"MckenzieLaura, PhetSanghan, DorseyCampbell"
MckenzieLaura,MckenzieLaura11,Football,Nails,MckenzieLaura.jpg,https://static.goranked.com/MckenzieLaura.jpg,NO,NO,"TimJarrett, JeromeBerardino, SamVirilio"
KariSosa,KariSosa11,Football,Hair,KariSosa.jpg,https://static.goranked.com/KariSosa.jpg,NO,NO,"JuliaKinlaw, FannyLulkus, AngelicaDibbern, HarrisonFoster"
SierraFrancis,SierraFrancis11,Shuffle/EDM,Latin Ballroom,SierraFrancis.jpg,https://static.goranked.com/SierraFrancis.jpg,YES,NO,"BobbyWilliams, MarcelStamenov, HulmSteller"
CandaceMolina,CandaceMolina11,Ballet,Juju On Dat Beat,CandaceMolina.jpg,https://static.goranked.com/CandaceMolina.jpg,NO,NO,"GeneMetz, WinonaBetthauser, BenjaminFreida"
GriffeyRomeo,GriffeyRomeo11,Sports,Men's Fashion & Modeling,GriffeyRomeo.jpg,https://static.goranked.com/GriffeyRomeo.jpg,YES,NO,"AnnaBeurot, CloonanPhillips, MelissaShirle"
PrescottJames,PrescottJames11,Sports,Football,PrescottJames.jpg,https://static.goranked.com/PrescottJames.jpg,NO,NO,"AtaliaAdoleon, RichardSonleon, JamieSchumacher"
GeneMetz,GeneMetz11,Soccer,Jazz,GeneMetz.jpg,https://static.goranked.com/GeneMetz.jpg,NO,NO,"BelindaEriksson, WinonaBetthauser, MelissaShirle"
MindyLeblanc,MindyLeblanc11,Soccer,Breakdance,MindyLeblanc.jpg,https://static.goranked.com/MindyLeblanc.jpg,NO,NO,"DorseyCampbell, AngelicaDibbern, SierraFrancis"
JuliaKinlaw,JuliaKinlaw11,Soccer,Magic,JuliaKinlaw.jpg,https://static.goranked.com/JuliaKinlaw.jpg,NO,NO,"SamVirilio, FannyLulkus, MarcelStamenov"
